Genre,Count
Fiction,6231
Fantasy,5501
Romance,3344
Young Adult,3211
Other,2837
Nonfiction,2657
Historical-Historical Fiction,2266
Mystery,1973
Science Fiction,1447
Classics,1172
History,1051
Poetry,973
Horror,876
Fantasy-Paranormal,800
Childrens,699
Sequential Art-Manga,679
Philosophy,606
Thriller,589
Fantasy-Urban Fantasy,537
Sequential Art-Comics,531
Short Stories,511
Sequential Art-Graphic Novels,457
Christian Fiction,457
Paranormal-Vampires,439
Biography,426
Novels,417
Childrens-Picture Books,380
Romance-Historical Romance,372
Romance-Paranormal Romance,356
Christian,319
Womens Fiction-Chick Lit,319
New Adult,313
Science,304
Religion,294
Romance-M M Romance,282
Humor,253
Plays,242
Self Help,219
Psychology,215
Childrens-Middle Grade,204
Politics,191
Business,190
Autobiography-Memoir,187
Spirituality,165
Contemporary,157
Art,150
Religion-Islam,147
Science Fiction-Dystopia,143
Adult Fiction-Erotica,143
Dark,141
Travel,141
Erotica-BDSM,139
Music,137
Religion-Theology,131
Mystery-Crime,131
Sports-Sports,123
Realistic Fiction,116
Horror-Zombies,113
Media Tie In-Star Wars,113
Romance-Romantic Suspense,112
Crime-True Crime,109
Adventure,107
Cultural-France,96
Asian Literature-Turkish Literature,94
LGBT,93
Animals-Horses,93
Fantasy-Mythology,91
Science Fiction-Steampunk,85
Paranormal-Angels,76
Holiday-Christmas,74
Westerns,73
Food and Drink-Cookbooks,68
Economics,67
Animals,67
Cultural-Russia,64
Cultural-Japan,62
Feminism,61
Science Fiction-Time Travel,61
Language-Writing,60
Urban,60
European Literature-Romanian Literature,56
Parenting,55
Romance-Contemporary Romance,50
Religion-Buddhism,49
Amish,49
Health,48
Historical,48
GLBT-Lesbian,46
Media Tie In-Doctor Who,45
Literature,45
War-Military Fiction,45
Asian Literature-Indonesian Literature,44
Cultural-Africa,42
Education,41
Reference,40
Novels-Light Novel,39
Culture-Film,39
European Literature-Polish Literature,39
European Literature-German Literature,36
Drama,35
Writing-Essays,35
Cultural-China,35
European Literature-Spanish Literature,35
Economics-Finance,34
Art-Photography,34
Cultural-India,34
European Literature-Bulgarian Literature,34
Erotica-Menage,32
Cultural-African American,31
Sociology,27
Suspense,26
World War II-Holocaust,25
European Literature-Portuguese Literature,25
Anthropology,24
Sports-Baseball,24
Leadership,24
Roman,23
Environment-Nature,22
Shapeshifters-Werewolves,22
Computer Science-Programming,21
Cultural-Portugal,19
Media Tie In-Star Trek,19
European Literature-Dutch Literature,18
Christianity-Catholic,18
Polyamorous-Reverse Harem,18
Business-Amazon,17
Religion-Christianity,17
Lds-Lds Fiction,17
Literature-Marathi,17
European Literature-Czech Literature,17
Adult,17
Occult,16
Mythology-Mermaids,16
Science-Mathematics,15
War,15
Plays-Theatre,15
Science Fiction-Aliens,15
Thriller-Mystery Thriller,15
European Literature-Italian Literature,14
Paranormal-Shapeshifters,14
Fantasy-Fairy Tales,13
Sequential Art-Bande Dessine,13
Food and Drink-Food,13
Marriage,13
Football,13
Relationships,13
Science Fiction Fantasy,13
Anthologies,13
Science-Physics,12
Sports-Fitness,12
Fantasy-Supernatural,12
Biography-Autobiography,12
Food and Drink-Cooking,11
GLBT-Queer,11
European Literature-Finnish Literature,11
Couture-Fashion,11
Cultural-Canada,11
European Literature-Hungarian Literature,11
Inspirational,10
Military History-Civil War,10
Paranormal-Witches,10
Audiobook,10
Romance-Interracial Romance,10
Science Fiction-Alternate History,10
Book Club,10
Fan Fiction,10
Love,10
Games-Chess,9
European Literature-French Literature,9
Sociology-Abuse,9
Cultural-Italy,9
Comics-Superheroes,9
Fantasy-Dragons,9
Epic,9
Romance-Erotic Romance,9
Esoterica-Astrology,9
Adventure-Survival,9
Apocalyptic-Post Apocalyptic,9
Literature-Russian Literature,8
Christian-Christian Living,8
Self Help-Personal Development,8
Paranormal-Ghosts,8
Academic-School,8
Law,8
Media Tie In,8
Young Adult-Teen,8
Unfinished,8
Anthologies-Collections,8
Games-Role Playing Games,8
Mystery-Noir,8
Family,8
Christianity-Lds,8
Media Tie In-Buffy The Vampire Slayer,7
Historical-Georgian,7
Dungeons and Dragons-Forgotten Realms,7
